season,week_ending_date,sars_cov2_log10_copies_ml,data_source,region,notes
2023/2024,2024-04-13,2.29,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-04-20,2.37,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-04-27,1.90,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-05-04,2.10,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-05-11,2.60,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-05-18,3.47,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-05-25,3.75,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-06-01,4.66,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-06-08,5.36,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-06-15,6.97,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-06-22,8.10,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-06-29,8.14,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-07-06,8.75,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-07-13,11.61,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-07-20,12.85,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-07-27,13.81,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-08-03,15.25,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-08-10,14.12,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-08-17,14.43,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-08-24,12.77,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-08-31,11.56,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-09-07,10.08,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-09-14,7.44,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-09-21,5.55,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-09-28,3.73,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-10-05,3.56,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-10-12,2.69,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-10-19,2.22,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-10-26,1.98,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-11-02,2.20,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-11-09,1.87,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-11-16,2.06,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-11-23,2.43,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-11-30,1.87,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-12-07,2.79,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-12-14,2.80,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-12-21,3.44,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-12-28,3.48,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-01-04,4.43,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-01-11,4.32,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-01-18,3.66,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-01-25,3.38,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-02-01,4.67,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-02-08,3.57,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-02-15,2.72,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-02-22,2.57,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-03-01,1.90,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-03-08,1.73,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-03-15,1.60,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-03-22,1.73,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-03-29,2.15,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-04-05,2.11,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-04-12,1.96,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-04-19,1.88,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-04-26,1.96,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-05-03,2.38,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-05-10,2.95,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-05-17,2.50,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-05-24,2.47,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-05-31,2.78,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-06-07,2.88,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-06-14,2.82,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-06-21,2.90,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-06-28,3.30,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-07-05,3.67,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-07-12,4.05,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-07-19,4.76,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-07-26,5.05,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-08-02,5.60,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
