year,winner_name,work_title,data_source
1976,Nicholas Dante,A Chorus Line,Wikidata
1975,Edward Albee,Seascape,Wikidata
1973,Jason Miller,That Championship Season,Wikidata
1971,Paul Zindel,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,Wikidata
1970,Charles Gordone,No Place to be Somebody,Wikidata
1969,Howard Sackler,The Great White Hope,Wikidata
1967,Edward Albee,A Delicate Balance,Wikidata
1965,Frank D. Gilroy,The Subject Was Roses,Wikidata
1962,Abe Burrows,How to Succeed in Business Without Really Trying,Wikidata
1962,Frank Loesser,How to Succeed in Business Without Really Trying,Wikidata
1961,Tad Mosel,All the Way Home,Wikidata
1960,George Abbott,Fiorello!,Wikidata
1960,Jerome Weidman,Fiorello!,Wikidata
1960,Sheldon Harnick,Fiorello!,Wikidata
1960,Jerry Bock,Fiorello!,Wikidata
1959,Archibald MacLeish,J.B.,Wikidata
1958,Ketti Frings,,Wikidata
1957,Eugene O'Neill,Long Day's Journey into Night,Wikidata
1956,Albert Hackett,The Diary of Anne Frank,Wikidata
1956,Frances Goodrich,The Diary of Anne Frank,Wikidata
1955,Tennessee Williams,Cat on a Hot Tin Roof,Wikidata
1954,John Patrick,The Teahouse of the August Moon,Wikidata
1953,William Inge,Picnic,Wikidata
1952,Joseph Kramm,The Shrike,Wikidata
1950,Richard Rodgers,South Pacific,Wikidata
1950,Oscar Hammerstein II,South Pacific,Wikidata
1950,Joshua Logan,South Pacific,Wikidata
1949,Arthur Miller,Death of a Salesman,Wikidata
1948,Tennessee Williams,A Streetcar Named Desire,Wikidata
1946,Howard Lindsay,State of the Union,Wikidata
1946,Russel Crouse,State of the Union,Wikidata
1945,Mary Chase,Harvey,Wikidata
1943,Thornton Wilder,The Skin of Our Teeth,Wikidata
1941,Robert E. Sherwood,There Shall Be No Night,Wikidata
1940,William Saroyan,The Time of Your Life,Wikidata
1939,Robert E. Sherwood,Abe Lincoln in Illinois,Wikidata
1938,Thornton Wilder,Our Town,Wikidata
1937,George S. Kaufman,You Can't Take It with You,Wikidata
1937,Moss Hart,You Can't Take It with You,Wikidata
1936,Robert E. Sherwood,Idiot's Delight,Wikidata
1935,Zoë Akins,The Old Maid,Wikidata
1934,Sidney Kingsley,Men in White,Wikidata
1933,Maxwell Anderson,Both Your Houses,Wikidata
1932,George S. Kaufman,Of Thee I Sing,Wikidata
1932,Morrie Ryskind,Of Thee I Sing,Wikidata
1932,Ira Gershwin,Of Thee I Sing,Wikidata
1931,Susan Glaspell,Alison's House,Wikidata
1930,Marc Connelly,The Green Pastures,Wikidata
1929,Elmer Rice,Street Scene,Wikidata
1928,Eugene O'Neill,Strange Interlude,Wikidata
1927,Paul Green,In Abraham's Bosom,Wikidata
1926,George Kelly,Craig's Wife,Wikidata
1925,Sidney Howard,They Knew What They Wanted,Wikidata
1924,Hatcher Hughes,,Wikidata
1923,Owen Davis,Icebound,Wikidata
1922,Eugene O'Neill,Anna Christie,Wikidata
1921,Zona Gale,Miss Lulu Bett,Wikidata
1920,Eugene O'Neill,Beyond the Horizon,Wikidata
1918,Jesse Lynch Williams,Why Marry?,Wikidata
