year,winner_name,category,work_title,data_source
1986,Henry S. Taylor,Poetry,,Wikidata
1985,Stephen Sondheim,Drama,Sunday in the Park with George,Wikidata
1985,James Lapine,Drama,Sunday in the Park with George,Wikidata
1985,Carolyn Kizer,Poetry,,Wikidata
1984,David Mamet,Drama,Glengarry Glen Ross,Wikidata
1984,Mary Oliver,Poetry,American primitive,Wikidata
1983,Marsha Norman,Drama,"'night, Mother",Wikidata
1983,Galway Kinnell,Poetry,,Wikidata
1982,Charles Fuller,Drama,A Soldier's Play,Wikidata
1982,Sylvia Plath,Poetry,,Wikidata
1981,Beth Henley,Drama,Crimes of the Heart,Wikidata
1981,James Schuyler,Poetry,,Wikidata
1980,Lanford Wilson,Drama,Talley's Folly,Wikidata
1980,William Ecenbarger,General,,Wikidata
1980,Donald Justice,Poetry,,Wikidata
1979,Sam Shepard,Drama,,Wikidata
1979,Robert Penn Warren,Poetry,,Wikidata
1978,Donald L. Coburn,Drama,The Gin Game,Wikidata
1978,Gaylord Shaw,General,,Wikidata
1978,Howard Nemerov,Poetry,,Wikidata
1977,Michael Cristofer,Drama,The Shadow Box,Wikidata
1977,Raymond Depardon,General,,Wikidata
1977,James Merrill,Poetry,Divine Comedies,Wikidata
1976,Michael Bennett,Drama,A Chorus Line,Wikidata
1976,"James Kirkwood, Jr.",Drama,A Chorus Line,Wikidata
1976,Marvin Hamlisch,Drama,A Chorus Line,Wikidata
1976,Edward Kleban,Drama,A Chorus Line,Wikidata
1976,Nicholas Dante,Drama,A Chorus Line,Wikidata
1976,John Ashbery,Poetry,Self-portrait in a Convex Mirror,Wikidata
1975,Edward Albee,Drama,Seascape,Wikidata
1975,Jack Maurice,General,,Wikidata
1975,Roger Ebert,General,,Wikidata
1975,Gary Snyder,Poetry,,Wikidata
1974,Robert Lowell,Poetry,,Wikidata
1973,Jason Miller,Drama,That Championship Season,Wikidata
1973,François Missen,General,,Wikidata
1973,Maxine Kumin,Poetry,,Wikidata
1972,James Wright,Poetry,,Wikidata
1971,Paul Zindel,Drama,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,Wikidata
1971,W. S. Merwin,Poetry,,Wikidata
1970,Charles Gordone,Drama,No Place to be Somebody,Wikidata
1970,Richard Howard,Poetry,,Wikidata
1969,Howard Sackler,Drama,The Great White Hope,Wikidata
1969,George Oppen,Poetry,,Wikidata
1968,Anthony Hecht,Poetry,,Wikidata
1967,Edward Albee,Drama,A Delicate Balance,Wikidata
1967,Anne Sexton,Poetry,,Wikidata
1966,Richard Eberhart,Poetry,,Wikidata
1965,Frank D. Gilroy,Drama,The Subject Was Roses,Wikidata
1965,John Berryman,Poetry,,Wikidata
1964,Louis Simpson,Poetry,At the End of the Open Road,Wikidata
1963,William Carlos Williams,Poetry,,Wikidata
1962,Abe Burrows,Drama,How to Succeed in Business Without Really Trying,Wikidata
1962,Frank Loesser,Drama,How to Succeed in Business Without Really Trying,Wikidata
1962,Alan Dugan,Poetry,,Wikidata
1961,Tad Mosel,Drama,All the Way Home,Wikidata
1961,Phyllis McGinley,Poetry,Times Three: Selected Verse from Three Decades,Wikidata
1960,George Abbott,Drama,Fiorello!,Wikidata
1960,Jerome Weidman,Drama,Fiorello!,Wikidata
1960,Sheldon Harnick,Drama,Fiorello!,Wikidata
1960,Jerry Bock,Drama,Fiorello!,Wikidata
1960,W. D. Snodgrass,Poetry,,Wikidata
1959,Archibald MacLeish,Drama,J.B.,Wikidata
1959,Stanley Kunitz,Poetry,,Wikidata
1958,Ketti Frings,Drama,,Wikidata
1958,Robert Penn Warren,Poetry,,Wikidata
1957,Eugene O'Neill,Drama,Long Day's Journey into Night,Wikidata
1957,Richard Wilbur,Poetry,,Wikidata
1956,Albert Hackett,Drama,The Diary of Anne Frank,Wikidata
1956,Frances Goodrich,Drama,The Diary of Anne Frank,Wikidata
1956,Elizabeth Bishop,Poetry,,Wikidata
1955,Tennessee Williams,Drama,Cat on a Hot Tin Roof,Wikidata
1955,James H. McCartney,General,,Wikidata
1955,Wallace Stevens,Poetry,,Wikidata
1954,John Patrick,Drama,The Teahouse of the August Moon,Wikidata
1954,Theodore Roethke,Poetry,The Waking,Wikidata
1953,William Inge,Drama,Picnic,Wikidata
1953,Archibald MacLeish,Poetry,,Wikidata
1952,Joseph Kramm,Drama,The Shrike,Wikidata
1952,Marianne Moore,Poetry,,Wikidata
1951,Carl Sandburg,Poetry,,Wikidata
1950,Richard Rodgers,Drama,South Pacific,Wikidata
1950,Oscar Hammerstein II,Drama,South Pacific,Wikidata
1950,Joshua Logan,Drama,South Pacific,Wikidata
1950,Gwendolyn Brooks,Poetry,Annie Allen,Wikidata
1949,Arthur Miller,Drama,Death of a Salesman,Wikidata
1949,Malcolm Johnson,General,,Wikidata
1949,Peter Viereck,Poetry,,Wikidata
1948,Tennessee Williams,Drama,A Streetcar Named Desire,Wikidata
1948,W. H. Auden,Poetry,The Age of Anxiety,Wikidata
1947,Robert Lowell,Poetry,Lord Weary's Castle,Wikidata
1946,Howard Lindsay,Drama,State of the Union,Wikidata
1946,Russel Crouse,Drama,State of the Union,Wikidata
1945,Mary Chase,Drama,Harvey,Wikidata
1945,Karl Shapiro,Poetry,,Wikidata
1944,Stephen Vincent Benét,Poetry,,Wikidata
1943,Thornton Wilder,Drama,The Skin of Our Teeth,Wikidata
1943,Robert Frost,Poetry,A Witness Tree,Wikidata
1942,William Rose Benét,Poetry,Q30916169,Wikidata
1941,Robert E. Sherwood,Drama,There Shall Be No Night,Wikidata
1941,Leonard Bacon,Poetry,Sunderland Capture,Wikidata
1940,William Saroyan,Drama,The Time of Your Life,Wikidata
1940,Mark Van Doren,Poetry,,Wikidata
1939,Robert E. Sherwood,Drama,Abe Lincoln in Illinois,Wikidata
1939,John Gould Fletcher,Poetry,,Wikidata
1938,Thornton Wilder,Drama,Our Town,Wikidata
1938,Marya Zaturenska,Poetry,,Wikidata
1937,George S. Kaufman,Drama,You Can't Take It with You,Wikidata
1937,Moss Hart,Drama,You Can't Take It with You,Wikidata
1937,Robert Frost,Poetry,A Further Range,Wikidata
1936,Robert E. Sherwood,Drama,Idiot's Delight,Wikidata
1936,Robert P. T. Coffin,Poetry,,Wikidata
1935,Zoë Akins,Drama,The Old Maid,Wikidata
1935,Audrey Wurdemann,Poetry,Bright Ambush,Wikidata
1934,Sidney Kingsley,Drama,Men in White,Wikidata
1934,Robert Hillyer,Poetry,,Wikidata
1933,Maxwell Anderson,Drama,Both Your Houses,Wikidata
1933,Archibald MacLeish,Poetry,,Wikidata
1932,George S. Kaufman,Drama,Of Thee I Sing,Wikidata
1932,Morrie Ryskind,Drama,Of Thee I Sing,Wikidata
1932,Ira Gershwin,Drama,Of Thee I Sing,Wikidata
1932,George Dillon,Poetry,,Wikidata
1931,Susan Glaspell,Drama,Alison's House,Wikidata
1931,Robert Frost,Poetry,Collected Poems of Robert Frost,Wikidata
1930,Marc Connelly,Drama,The Green Pastures,Wikidata
1930,Conrad Aiken,Poetry,,Wikidata
1929,Elmer Rice,Drama,Street Scene,Wikidata
1929,Stephen Vincent Benét,Poetry,,Wikidata
1928,Eugene O'Neill,Drama,Strange Interlude,Wikidata
1928,Edwin Arlington Robinson,Poetry,,Wikidata
1927,Paul Green,Drama,In Abraham's Bosom,Wikidata
1927,Leonora Speyer,Poetry,Fiddler's Farewell,Wikidata
1926,George Kelly,Drama,Craig's Wife,Wikidata
1926,Amy Lowell,Poetry,,Wikidata
1925,Sidney Howard,Drama,They Knew What They Wanted,Wikidata
1925,Edwin Arlington Robinson,Poetry,The Man Who Died Twice,Wikidata
1924,Hatcher Hughes,Drama,,Wikidata
1924,Frank W. Buxton,General,,Wikidata
1924,Robert Frost,Poetry,New Hampshire,Wikidata
1923,Owen Davis,Drama,Icebound,Wikidata
1923,James Silas Pooler Jr.,General,,Wikidata
1923,Edna St. Vincent Millay,Poetry,,Wikidata
1922,Eugene O'Neill,Drama,Anna Christie,Wikidata
1922,Edwin Arlington Robinson,Poetry,Collected Poems,Wikidata
1921,Zona Gale,Drama,Miss Lulu Bett,Wikidata
1920,Eugene O'Neill,Drama,Beyond the Horizon,Wikidata
1919,Carl Sandburg,Poetry,Cornhuskers,Wikidata
1919,Margaret Widdemer,Poetry,The Old Road to Paradise,Wikidata
1918,Jesse Lynch Williams,Drama,Why Marry?,Wikidata
1918,Henry Beetle Hough,General,,Wikidata
1918,Minna Lewinson,General,,Wikidata
1918,Sara Teasdale,Poetry,Love Songs,Wikidata
